priority,accession_number,title,record_type,collection_name,historical_theme,people,object_date,donor,neighborhood,observation_reasons,notes
medium,SRM-2026-161,Bronze-toned sculpture of multigenerational family group,Artifact,SRM Collection,Family And Local Life,,,,,missing object date; missing donor/provenance; missing geography/neighborhood,"Created from original SRM/31.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll024.png at distance 42, but the image was triaged as likely not represented. Review before publishing or deduplicating."
medium,SRM-2026-169,Pair of worn sandals or flip-flops,Artifact,SRM Collection,Material Culture and Interpretation,,,,,missing object date; missing donor/provenance; missing geography/neighborhood,"Created from original SRM/70.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll024.png at distance 31, but the image was triaged as likely not represented. Review before publishing or deduplicating."
medium,SRM-2026-170,School group portrait on brick steps,Artifact,SRM Collection,African American Education,unidentified students,,,,generic subject title; missing object date; missing donor/provenance; missing geography/neighborhood,"Created from original SRM/71.png based on the 2026-07-03 cursory reconciliation pass. Best automated candidate was coll032.png at distance 50, but the image was triaged as likely not represented. Review before publishing or deduplicating."
medium,SRM-2026-184,Untitled design batch image 3 (provisional),Artifact,Original SRM Intake Review,Material Culture and Interpretation,,,,,missing object date; missing donor/provenance; missing geography/neighborhood,Source file renamed from 3.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.
medium,SRM-2026-185,Man and two children on Farish Street,Photograph,Original SRM Intake Review,Family And Local Life,,,,Farish Street,no named people on person-centered image; missing object date; missing donor/provenance,"Identification and date range provided by user on July 18, 2026."
medium,SRM-2026-186,Untitled design batch image 5 (provisional),Artifact,Original SRM Intake Review,Material Culture and Interpretation,,,,,missing object date; missing donor/provenance; missing geography/neighborhood,Source file renamed from 5.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.
medium,SRM-2026-187,Untitled design batch image 6 (provisional),Artifact,Original SRM Intake Review,Material Culture and Interpretation,,,,,missing object date; missing donor/provenance; missing geography/neighborhood,Source file renamed from 6.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.
medium,SRM-2026-188,Untitled design batch image 7 (provisional),Artifact,Original SRM Intake Review,Material Culture and Interpretation,,,,,missing object date; missing donor/provenance; missing geography/neighborhood,Source file renamed from 7.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.
medium,SRM-2026-190,Untitled design batch image 9 (provisional),Artifact,Original SRM Intake Review,Material Culture and Interpretation,,,,,missing object date; missing donor/provenance; missing geography/neighborhood,Source file renamed from 9.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.
medium,SRM-2026-194,Typewriter,Artifact,Original SRM Intake Review,Civic Leadership,,,,,missing object date; missing donor/provenance; missing geography/neighborhood,Source file renamed from 13.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.
medium,SRM-2026-195,Civil rights demonstration photograph,Photograph,Original SRM Intake Review,Civil Rights and Citizenship,,,,Mississippi,no named people on person-centered image; missing object date; missing donor/provenance,Source file renamed from 14.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.
medium,SRM-2026-197,Woven basket or container,Artifact,Original SRM Intake Review,Arts And Culture,,,,,missing object date; missing donor/provenance; missing geography/neighborhood,Source file renamed from 16.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.
medium,SRM-2026-198,Baby carriage or stroller,Artifact,Original SRM Intake Review,Midwives and Motherhood,,,,,missing object date; missing donor/provenance; missing geography/neighborhood,Source file renamed from 17.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.
medium,SRM-2026-202,Standard certificate of birth for Bobbie May Jefferson,Archive,Original SRM Intake Review,Midwives and Motherhood,Bobbie May Jefferson; Josephine Jefferson,1934-08-17,,Scott Ford Houses,tentative interpretation; missing donor/provenance,"Identification updated from image text on July 18, 2026 and grouped with Scott Ford midwife-related materials per user guidance."
medium,SRM-2026-212,Portrait of John H. Powell,Photograph,Original SRM Intake Review,Portraiture and Community Memory,John H. Powell,,,,missing object date; missing donor/provenance; missing geography/neighborhood,"Identification provided by user on July 18, 2026."
medium,SRM-2026-213,Untitled design batch image 32 (provisional),Artifact,Original SRM Intake Review,Material Culture and Interpretation,,,,,missing object date; missing donor/provenance; missing geography/neighborhood,Source file renamed from 32.png in /Users/Birittany/Downloads/Untitled design (1). Additional unedited source files are in /Users/Birittany/Downloads/drive-download-20260718T010640Z-1-001 and should be reviewed for fuller identification.
medium,SRM-2026-214,Certificate of Meritorious Achievement in Journalism for Percy Greene,Archive,Original SRM Intake Review,Black Business and Professional Life,Percy Greene,1960,,,tentative interpretation; missing donor/provenance; missing geography/neighborhood,The certificate appears to reference a New York Press Club award.
medium,SRM-2026-235,Jackson College exhibit display room (provisional),Photograph,Smith Robertson Photograph Collection,Arts And Culture,,20th century,,Jackson State University Campus,tentative interpretation,Embedded metadata did not include a usable caption beyond the asset identifier. Title and description are provisional from visual review of gettyimages-2151568410-594x594.jpg.
medium,SRM-2026-265,Voice-O-Graph recording labeled with R. Jess Brown's name and state criminal case,Artifact,R. Jess Brown Collection,Community and Professional Life,R. Jess Brown,20th century,Daughter of R. Jess Brown,Mississippi,tentative interpretation,Source image: 24.png from /Users/Birittany/Downloads/Untitled design (2); metadata imported from R_Jess_Brown_Metadata_Descriptions_1-52.txt on 2026-07-21.
medium,SRM-2026-277,National Bar Association life-membership certificate for R. Jess Brown,Artifact,R. Jess Brown Collection,Community and Professional Life,R. Jess Brown,1968-05-13,Daughter of R. Jess Brown,United States,tentative interpretation,Source image: 36.png from /Users/Birittany/Downloads/Untitled design (2); metadata imported from R_Jess_Brown_Metadata_Descriptions_1-52.txt on 2026-07-21.
medium,SRM-2026-280,Ellis J. May III letter recalling conversation with R. Jess Brown,Archive,R. Jess Brown Collection,Civic Leadership,R. Jess Brown; Ellis J. May III; Thurgood Marshall,1988-09-21,Daughter of R. Jess Brown,"Washington, D.C.",tentative interpretation,Source image: 39.png from /Users/Birittany/Downloads/Untitled design (2); metadata imported from R_Jess_Brown_Metadata_Descriptions_1-52.txt on 2026-07-21.
medium,SRM-2026-299,Metropolitan Class Record No. 425,Archive,Dr. Townsend Collection,African American Education,"Dr. Townsend (teacher, attributed)",1944,,Mississippi,tentative interpretation; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 6.png."
medium,SRM-2026-303,Seated older man indoors,Photograph,Dr. Townsend Collection,Portraiture and Community Memory,,,,Geographies To Be Confirmed,no named people on person-centered image; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 10.png."
medium,SRM-2026-308,Alcorn A and M College Certificate of Merit,Archive,Dr. Townsend Collection,African American Education,,1960-05-23,,"Lorman, Mississippi",tentative interpretation; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 15.png."
medium,SRM-2026-324,Office or public building desk scene,Photograph,Dr. Townsend Collection,Community and Professional Life,,,,Geographies To Be Confirmed,tentative interpretation; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 31.png."
medium,SRM-2026-329,Health worker examining seated man,Photograph,Dr. Townsend Collection,Black Health and Medicine,,,,Geographies To Be Confirmed,no named people on person-centered image; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 36.png."
medium,SRM-2026-330,Auditorium audience photograph,Photograph,Dr. Townsend Collection,Community and Professional Life,,,,Geographies To Be Confirmed,no named people on person-centered image; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 37.png."
medium,SRM-2026-338,Row of small wood-frame houses streetscape,Photograph,Dr. Townsend Collection,Family And Local Life,,,,Geographies To Be Confirmed,tentative interpretation; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 45.png."
medium,SRM-2026-339,Woman sorting garments in distribution room,Photograph,Dr. Townsend Collection,Community and Professional Life,,,,Geographies To Be Confirmed,no named people on person-centered image; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 46.png."
medium,SRM-2026-342,Man speaking at microphone behind podium,Photograph,Dr. Townsend Collection,Civic Leadership,,,,Geographies To Be Confirmed,no named people on person-centered image; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 49.png."
medium,SRM-2026-352,"Historic Pictorial Group of the Members of the Legislature, alternate documentation image",Photograph,Dr. Townsend Collection,Civic Leadership,,1878-1879,,Mississippi,no named people on person-centered image; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 59.png."
medium,SRM-2026-353,1926-1927 seniors group portrait,Photograph,Dr. Townsend Collection,African American Education,,1926-1927,,Geographies To Be Confirmed,generic subject title; no named people on person-centered image; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 60.png."
medium,SRM-2026-355,Jackson Club group portrait with membership roster,Photograph,Dr. Townsend Collection,Community and Professional Life,Jackson Club members,,,"Jackson, Mississippi",generic subject title; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 63.png."
medium,SRM-2026-356,Children eating in school cafeteria,Photograph,Dr. Townsend Collection,African American Education,,,,Geographies To Be Confirmed,no named people on person-centered image; missing object date; missing donor/provenance,"Added from the Dr Townsend folder on July 22, 2026. Source file renamed from 64.png."
medium,SRM-2026-361,"Portrait of an unidentified infant, undated",Photograph,,Midwives and Motherhood,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,Imported from /Users/Birittany/Downloads/Stumps/1.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
medium,SRM-2026-362,"Portrait of three unidentified children, undated",Photograph,,Family And Local Life,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,Imported from /Users/Birittany/Downloads/Stumps/2.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
medium,SRM-2026-363,"Portrait of an unidentified couple, undated",Photograph,,Family And Local Life,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,Imported from /Users/Birittany/Downloads/Stumps/3.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
medium,SRM-2026-364,"Carved portrait bust of an unidentified woman, undated",Photograph,,Family And Local Life,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,Imported from /Users/Birittany/Downloads/Stumps/4.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
medium,SRM-2026-365,"Carved portrait bust of an unidentified man, undated",Photograph,,Family And Local Life,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,Imported from /Users/Birittany/Downloads/Stumps/5.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
medium,SRM-2026-370,"Smith Robertson Folklife Festival program, May 3–5, 1985",Archive,,African American Education,,1985,,Smith Robertson Campus,tentative interpretation,Imported from /Users/Birittany/Downloads/Stumps/10.png on 2026-07-26. Festival dates and sponsor details confirmed from the cover image on July 27
medium,SRM-2026-373,"A Neighborhood Discovery exhibition program, 1983",Archive,,African American Education,,1983,,Smith Robertson Campus,tentative interpretation,Imported from /Users/Birittany/Downloads/Stumps/13.png on 2026-07-26. Exhibition dates and site wording confirmed from the image on July 27
medium,SRM-2026-376,"Advertising fan with portrait of an unidentified boy, undated",Photograph,,Family And Local Life,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,Imported from /Users/Birittany/Downloads/Stumps/16.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
medium,SRM-2026-377,"Portrait of an unidentified woman, undated",Photograph,,Family And Local Life,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,Imported from /Users/Birittany/Downloads/Stumps/17.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
medium,SRM-2026-380,"Portrait of an unidentified young man, undated",Photograph,,Family And Local Life,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,Imported from /Users/Birittany/Downloads/Stumps/20.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
medium,SRM-2026-381,"Two unidentified children indoors, undated",Photograph,,Family And Local Life,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,Imported from /Users/Birittany/Downloads/Stumps/21.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
medium,SRM-2026-387,"Industrial-course certificate awarded to R. L. Burton, May 20, 1916",Archive,,African American Education,R. L. Burton,1916-05-20,,Geographies To Be Confirmed,tentative interpretation,Imported from /Users/Birittany/Downloads/Stumps/27.png on 2026-07-26. Recipient name
medium,SRM-2026-389,"Smith Robertson Neighborhood Folklife Festival program, May 4, 1984",Archive,,African American Education,,1984-05-04,,Smith Robertson Campus,tentative interpretation,Imported from /Users/Birittany/Downloads/Stumps/29.png on 2026-07-26. Event title
medium,SRM-2026-390,"Smith Robertson Neighborhood Folklife Festival program pages, 1984",Archive,,African American Education,Theresa H. Martin; C. C. Appleberry; Margaret Walker Alexander; Dale Danks Jr.,1984-05-04,,Smith Robertson Campus,tentative interpretation, performers
medium,SRM-2026-396,Unidentified image,Photograph,,Material Culture and Interpretation,,,,Geographies To Be Confirmed,unidentified subject; missing object date,Imported from /Users/Birittany/Downloads/Stumps/36.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
medium,SRM-2026-397,"Group portrait with handwritten identifications, undated",Photograph,,Family And Local Life,,undated,,Geographies To Be Confirmed,generic subject title; no named people on person-centered image,Imported from /Users/Birittany/Downloads/Stumps/37.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
medium,SRM-2026-414,"Street Talk, May 1979",Photograph,,Material Culture and Interpretation,,1979,,Geographies To Be Confirmed,tentative interpretation,Imported from /Users/Birittany/Downloads/Stumps/54.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
medium,SRM-2026-415,"The South of the Near Future, May 1980",Archive,,Civil Rights and Citizenship,Leslie W. Dunbar,1980-05,,Atlanta Georgia,tentative interpretation,Imported from /Users/Birittany/Downloads/Stumps/55.png on 2026-07-26. Author
medium,SRM-2026-424,"Unidentified musician performing, undated",Photograph,,Arts And Culture,,undated,,Geographies To Be Confirmed,unidentified subject,Imported from /Users/Birittany/Downloads/Stumps/64.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
medium,SRM-2026-428,"Focus, May 1980",Archive,,Civil Rights and Citizenship,,1980-05,,Washington D.C.,tentative interpretation,Imported from /Users/Birittany/Downloads/Stumps/68.png on 2026-07-26. Corrected the year to 1980 from the cover image; publication title
medium,SRM-2026-430,"Interior of an unidentified general store, undated",Photograph,,Material Culture and Interpretation,,undated,,Geographies To Be Confirmed,unidentified subject,Imported from /Users/Birittany/Downloads/Stumps/70.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
medium,SRM-2026-440,"Rust College Alumni Newsletter, February 1981",Archive,,African American Education,,1981-02,,Holly Springs,tentative interpretation,Imported from /Users/Birittany/Downloads/Stumps/80.png on 2026-07-26. Newsletter title
medium,SRM-2026-452,"Southern Black Cultural Newsletter, May 1981",Archive,,Arts And Culture,John O'Neal,1981-05,,South,tentative interpretation,Imported from /Users/Birittany/Downloads/Stumps/92.png on 2026-07-26. Publication title
medium,SRM-2026-454,"Portrait of an unidentified woman, undated",Photograph,,Family And Local Life,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,Imported from /Users/Birittany/Downloads/Stumps/94.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
medium,SRM-2026-455,"Portrait of an unidentified man with seasonal inscription, undated",Photograph,,Family And Local Life,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,Imported from /Users/Birittany/Downloads/Stumps/95.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
medium,SRM-2026-456,"Unidentified man with bicycle, undated",Photograph,,Family And Local Life,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,Imported from /Users/Birittany/Downloads/Stumps/96.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
medium,SRM-2026-465,"Portrait of an unidentified woman, undated",Photograph,,Family And Local Life,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,Imported from /Users/Birittany/Downloads/Stumps/105.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.
medium,SRM-2026-477,"Portrait of an unidentified infant in christening gown, undated",Photograph,,Midwives and Motherhood,,undated,,Geographies To Be Confirmed,unidentified subject; no named people on person-centered image,"Imported from /Users/Birittany/Downloads/SRM (1)/5.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-488,"May Day 1963, Vertilla Anderson’s first grade class",Photograph,,African American Education,Vertilla F. Anderson,1963-05,,Farish Street,tentative interpretation,"Imported from /Users/Birittany/Downloads/SRM (1)/16.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-491,"Vertilla F. Anderson portrait with floral display, May 1964",Photograph,,African American Education,Vertilla F. Anderson,1964-05,,Farish Street,tentative interpretation,"Imported from /Users/Birittany/Downloads/SRM (1)/19.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-492,"Betty Mencuree with first graders, May 1964",Photograph,,African American Education,Betty Mencuree,1964-05,,Farish Street,tentative interpretation,"Imported from /Users/Birittany/Downloads/SRM (1)/20.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-493,"Vertilla F. Anderson and class, May 1964",Photograph,,African American Education,Vertilla F. Anderson,1964-05,,Farish Street,tentative interpretation,"Imported from /Users/Birittany/Downloads/SRM (1)/21.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-496,May Day 1965 maypole at Robertson School,Photograph,,African American Education,Robert Blackmon; Mrs. Blackmon,1965-05,,Farish Street,tentative interpretation,"Imported from /Users/Birittany/Downloads/SRM (1)/24.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-499,"May Day first grade class in costume, May 1964",Photograph,,African American Education,Vertilla F. Anderson,1964-05,,Farish Street,tentative interpretation,"Imported from /Users/Birittany/Downloads/SRM (1)/27.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-502,"At the zoo, May Day 1965, Robertson School",Photograph,,African American Education,Robert Blackmon; Mrs. Blackmon,1965-05,,Geographies To Be Confirmed,tentative interpretation,"Imported from /Users/Birittany/Downloads/SRM (1)/30.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-509,"Hygiene class certificate for Leroy Weathersby, May 21, 1940",Archive,,Black Health and Medicine,Leroy Weathersby; Mary T. Osborne; Felix J. Underwood,1940-05-21,,Hinds County,tentative interpretation,"Imported from /Users/Birittany/Downloads/SRM (1)/37.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-512,"Ten African American Artists at Smith Robertson opening program, May 5, 1991",Archive,,Arts And Culture,,1991-05-05,,Downtown Jackson,tentative interpretation,"Imported from /Users/Birittany/Downloads/SRM (1)/40.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-525,"War on Hunger: A Report from the Agency for International Development, May 1976",Archive,,Community and Professional Life,,1976-05,,Geographies To Be Confirmed,tentative interpretation,"Imported from /Users/Birittany/Downloads/SRM (1)/53.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-530,"Dedication plaque for B. Baldwin Dansby Hall, May 22, 1951",Artifact,B. Baldwin Dansby Collection,African American Education,B. Baldwin Dansby,1951-05-22,,Jackson State University Campus,tentative interpretation,"Imported from /Users/Birittany/Downloads/Dansby.zip item 2.png on 2026-07-29. Metadata drawn from visual review of the image on July 29, 2026."
medium,SRM-2026-538,"Studio portrait of B. Baldwin Dansby with patterned tie, undated",Photograph,B. Baldwin Dansby Collection,Portraiture and Community Memory,B. Baldwin Dansby,undated,,"Jackson, Mississippi",tentative interpretation,"Imported from /Users/Birittany/Downloads/Dansby.zip item 10.png on 2026-07-29. Metadata drawn from visual review of the image on July 29, 2026."
medium,SRM-2026-543,"Full-length portrait of Dr. B. Baldwin Dansby, December 17, 1950",Photograph,B. Baldwin Dansby Collection,Portraiture and Community Memory,B. Baldwin Dansby,1950-12-17,,"Jackson, Mississippi",tentative interpretation,"Imported from /Users/Birittany/Downloads/Dansby.zip item 15.png on 2026-07-29. Metadata drawn from visual review of the image on July 29, 2026."
medium,SRM-2026-554,"Prentiss Normal and Industrial Institute letter requesting biographical sketch from B. B. Dansby, April 3, 1967",Archive,B. Baldwin Dansby Collection,African American Education,B. Baldwin Dansby; J. E. Johnson,1967-04-03,,"Prentiss, Mississippi",verify/confirm language,"Imported from /Users/Birittany/Downloads/Dansby.zip item 26.png on 2026-07-29. Metadata drawn from visual review of the image on July 29, 2026."
medium,SRM-2026-578,"Prentiss Institute honorary Doctor of Humanities degree for Mary Augusta Rayford Collins, May 21, 1967",Archive,Biographical and Civic History Collection,African American Education,Mary Augusta Rayford Collins,1967-05-21,,"Prentiss, Mississippi",tentative interpretation,"Imported from /Users/Birittany/Downloads/Freedom Day Celebration 1991.zip item 9.png on 2026-07-29. Metadata drawn from visual review of the image on July 29, 2026."
medium,SRM-2026-592,"Miles Memorial College Junior College Department diploma for Ruth C. Finch, May 25, 1925",Archive,Dr. S. D. Redmond Collection,African American Education,Ruth C. Finch,1925-05-25,,"Birmingham, Alabama",tentative interpretation,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/4.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-596,"Pair of brass handbells, undated",Artifact,Dr. S. D. Redmond Collection,Material Culture and Interpretation,,undated,,Geographies To Be Confirmed,tentative interpretation,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/8.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-612,"Christian Endeavor Society certificate for Charles H. Wilson, May 14, 1921",Archive,Dr. S. D. Redmond Collection,Community and Professional Life,Charles H. Wilson,1921-05-14,,"Tuskegee, Alabama",tentative interpretation,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/24.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-614,"City of Jackson proclamation for Bob Moses Day, May 4, 2000",Archive,Dr. S. D. Redmond Collection,Civil Rights and Citizenship,Bob Moses; Harvey Johnson Jr.,2000-05-04,,"Jackson, Mississippi",tentative interpretation,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/26.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-615,"Tuskegee Normal and Industrial Institute trade certificate in harness-making for Charles James Henry Wilson, May 26, 1921",Archive,Dr. S. D. Redmond Collection,Black Business and Professional Life,Charles James Henry Wilson,1921-05-26,,"Tuskegee, Alabama",tentative interpretation,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/27.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-617,"Double portrait of an unidentified couple, undated",Photograph,Dr. S. D. Redmond Collection,Portraiture and Community Memory,unidentified woman; unidentified man,undated,,Geographies To Be Confirmed,unidentified subject,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/29.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-629,"Portrait of an unidentified clergyman holding a diploma, undated",Photograph,Dr. S. D. Redmond Collection,Portraiture and Community Memory,unidentified clergyman,undated,,Geographies To Be Confirmed,unidentified subject,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/41.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-630,"Group portrait of unidentified men with handwritten names on verso, undated",Photograph,Dr. S. D. Redmond Collection,Community and Professional Life,Henry Denton; Lee Williams; Prof. Beasley; H. T. Sampson; unidentified men,undated,,Geographies To Be Confirmed,unidentified subject; generic subject title,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/42.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-632,"Mississippi Association of Life Underwriters sales congress group photograph, May 28, 1920",Photograph,Dr. S. D. Redmond Collection,Black Business and Professional Life,Mississippi Association of Life Underwriters,1920-05-28,,"Jackson, Mississippi",tentative interpretation; generic subject title,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/44.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-640,"Duplicate photographic copy of physician’s birth certificate data for Carlyn Evelyn Baker, March 24, 1943",Archive,Dr. S. D. Redmond Collection,Midwives and Motherhood,Carlyn Evelyn Baker; Barbara Willis; Milton Baker,1943-03-24,,"Jackson, Mississippi",tentative interpretation,"Imported from /Users/Birittany/Downloads/Dr S D Redmond/52.png on 2026-08-01. Metadata drawn from visual review of the image on August 1, 2026."
medium,SRM-2026-643,"Residential building associated with the Perkins network, undated",Photograph,John and Vera Mae Perkins Collection,Community and Professional Life,,undated,,Geographies To Be Confirmed,tentative interpretation,"Imported from /Users/Birittany/Downloads/January 1971/3.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026."
medium,SRM-2026-652,"Clasped hands detail, undated",Photograph,John and Vera Mae Perkins Collection,Family And Local Life,,undated,,Geographies To Be Confirmed,tentative interpretation,"Imported from /Users/Birittany/Downloads/January 1971/12.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026."
medium,SRM-2026-657,"John M. Perkins with an older companion outdoors, undated",Photograph,John and Vera Mae Perkins Collection,Civic Leadership,John M. Perkins; unidentified man,undated,,Geographies To Be Confirmed,tentative interpretation,"Imported from /Users/Birittany/Downloads/January 1971/17.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026."
medium,SRM-2026-679,"Presentation or exchange between community members, undated",Photograph,John and Vera Mae Perkins Collection,Community and Professional Life,unidentified adults,undated,,Geographies To Be Confirmed,tentative interpretation,"Imported from /Users/Birittany/Downloads/January 1971/39.png on 2026-08-01. Metadata drawn from visual review of the image and contextual research on John M. Perkins and Vera Mae Perkins on August 1, 2026."
